=== YFFS2 Test Operations ===

=== YAFFS2 Media Information ===
Mount point          : /
Filesystem type      : YAFFS2
Total space          : 32768 KB (32 MB)
Free space           : 18300 KB (17 MB)
Used space           : 14467 KB (14 MB)
Usage                : 44% used, 56% free
GC Recommendation    : Low usage - passive garbage collection sufficient

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled

Test operations:
<1> - Write files test
<2> - Read files test
<3> - Delete files test
<4> - Format filesystem test
<5> - Run full test (write+read+delete)

Configuration:
<6> - Change files count (1-10000)
<7> - Change file size (1KB-1MB)
<8> - Change block size (1KB-128KB)
<A> - Change data pattern
<B> - Toggle data verification
<C> - Change constant pattern value
<9> - Reset to defaults
<ESC> - Return to previous menu

Enter choice: 
=== YAFFS2 Read Test ===

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled
Reading 1000 files of 10240 bytes each...
File /test_088.bin: opened:   434 us, closed:     3 us, I/O:   2137 us, total:   7932 us, speed:  4679 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_089.bin: opened:   425 us, closed:     3 us, I/O:   2141 us, total:   7856 us, speed:  4670 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_090.bin: opened:   423 us, closed:     3 us, I/O:   2166 us, total:   7837 us, speed:  4616 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_091.bin: opened:   426 us, closed:     3 us, I/O:   2133 us, total:  13782 us, speed:  4688 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_092.bin: opened:   433 us, closed:     3 us, I/O:   2139 us, total:   7824 us, speed:  4675 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_093.bin: opened:   432 us, closed:     3 us, I/O:   2164 us, total:   7897 us, speed:  4621 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_094.bin: opened:   437 us, closed:     3 us, I/O:   2132 us, total:   7886 us, speed:  4690 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_095.bin: opened:   455 us, closed:     3 us, I/O:   2131 us, total:   7863 us, speed:  4692 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_096.bin: opened:   435 us, closed:     3 us, I/O:   2150 us, total:   7925 us, speed:  4651 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_097.bin: opened:   436 us, closed:     3 us, I/O:   2134 us, total:   7872 us, speed:  4686 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
