=== Read Test ===
Filesystem integrity check: OK
Reading 1000 files, 65536 byte blocks
Data pattern: Constant (0xAA), Verification: ON
Reading /test_085.bin... opened:  4622 us, closed:     3 us, I/O:   1892 us, total:  11662 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_086.bin... opened:  4634 us, closed:     3 us, I/O:   1891 us, total:  11730 us, speed:  5288 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_087.bin... opened:  4618 us, closed:     3 us, I/O:   1896 us, total:  11696 us, speed:  5274 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_088.bin... opened:  4587 us, closed:     3 us, I/O:   7830 us, total:  17575 us, speed:  1277 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_089.bin... opened:  4595 us, closed:     3 us, I/O:   1893 us, total:  11637 us, speed:  5282 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_090.bin... opened:  4606 us, closed:     3 us, I/O:   1895 us, total:  11633 us, speed:  5277 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_091.bin... opened:  4558 us, closed:     3 us, I/O:   1888 us, total:  11587 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_092.bin... opened:  4548 us, closed:     3 us, I/O:   1888 us, total:  11607 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_093.bin... opened:  4504 us, closed:     3 us, I/O:   1891 us, total:  11600 us, speed:  5288 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_094.bin... opened:  4482 us, closed:     3 us, I/O:   1904 us, total:  11553 us, speed:  5252 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_095.bin... opened:  4480 us, closed:     3 us, I/O:   1893 us, total:  17472 us, speed:  5282 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
