=== Write Test ===
Filesystem integrity check: OK
Writing 1000 files, 10240 bytes each, 65536 byte blocks
Data pattern: Constant (0xAA), Verification: ON
Writing /test_132.bin... opened:  5267 us, closed:   445 us, I/O:  84844 us, total:  95498 us, speed:   117 KB/s, CRC32: 0xC61C2AA0
Writing /test_133.bin... opened:  5356 us, closed:   442 us, I/O: 106142 us, total: 116866 us, speed:    94 KB/s, CRC32: 0xC61C2AA0
Writing /test_134.bin... opened:  5434 us, closed:   446 us, I/O:  95644 us, total: 106441 us, speed:   104 KB/s, CRC32: 0xC61C2AA0
Writing /test_135.bin... opened:  5490 us, closed:   435 us, I/O:  90309 us, total: 101142 us, speed:   110 KB/s, CRC32: 0xC61C2AA0
Writing /test_136.bin... opened:  5660 us, closed:   411 us, I/O:  98322 us, total: 109326 us, speed:   101 KB/s, CRC32: 0xC61C2AA0
Writing /test_137.bin... opened:  5741 us, closed:   392 us, I/O: 101138 us, total: 112218 us, speed:    98 KB/s, CRC32: 0xC61C2AA0
Writing /test_138.bin... opened:  5739 us, closed:   370 us, I/O:  91583 us, total: 102634 us, speed:   109 KB/s, CRC32: 0xC61C2AA0
Writing /test_139.bin... opened:  5790 us, closed:   360 us, I/O:  90970 us, total: 102055 us, speed:   109 KB/s, CRC32: 0xC61C2AA0
Writing /test_140.bin... opened:  5847 us, closed:   338 us, I/O:  84466 us, total:  95545 us, speed:   118 KB/s, CRC32: 0xC61C2AA0
Writing /test_141.bin... opened:  5894 us, closed:   316 us, I/O:  86225 us, total:  97378 us, speed:   115 KB/s, CRC32: 0xC61C2AA0
Writing /test_142.bin... opened:  5899 us, closed:   230 us, I/O:  87165 us, total:  98246 us, speed:   114 KB/s, CRC32: 0xC61C2AA0
Writing /test_143.bin... opened: 505125 us, closed: 198756 us, I/O:  95199 us, total: 804090 us, speed:   105 KB/s, CRC32: 0xC61C2AA0
Writing /test_144.bin... opened:  4955 us, closed:   441 us, I/O:  85868 us, total:  96177 us, speed:   116 KB/s, CRC32: 0xC61C2AA0
Writing /test_145.bin... opened:  4973 us, closed:   443 us, I/O: 108005 us, total: 118345 us, speed:    92 KB/s, CRC32: 0xC61C2AA0
Writing /test_146.bin... opened:  5236 us, closed:   437 us, I/O:  79853 us, total:  90447 us, speed:   125 KB/s, CRC32: 0xC61C2AA0
Writing /test_147.bin... opened:  5268 us, closed:   439 us, I/O:  88693 us, total:  99343 us, speed:   112 KB/s, CRC32: 0xC61C2AA0
Writing /test_148.bin... opened:  5334 us, closed:   440 us, I/O:  89078 us, total:  99802 us, speed:   112 KB/s, CRC32: 0xC61C2AA0
Writing /test_149.bin... opened:  5383 us, closed:   445 us, I/O:  98270 us, total: 109034 us, speed:   101 KB/s, CRC32: 0xC61C2AA0
